file_name,file_name.2,file_name.1,freq,if_univariate,size,length,trend,seasonal,stationary,transition,shifting,correlation
黔南州瓮安县永和镇垛丁村大院子组滑坡.csv,,,other,False,user,18576,,,,,,
黔南州福泉市凤山镇竹王城村龙洞组猫耳寨滑坡.csv,,,other,False,user,18640,,,,,,
黔西南州贞丰县白层镇这内村喜鹅小寨组滑坡.csv,,,other,False,user,966,,,,,,
铜仁市万山区敖寨乡两河口村枧溪组滑坡.csv,,,other,False,user,1212,,,,,,
黔东南州天柱县白市镇民建村家祠二组潘家屋背滑坡.csv,,,other,False,user,14595,,,,,,
黔东南州黄平县翁坪乡永旺村白沙井组滑坡.csv,,,other,False,user,966,,,,,,
黔东南州台江县方召镇黄毛村5组滑坡.csv,,,other,False,user,14595,,,,,,
毕节市黔西市中坪镇证明村风青龙组滑坡.csv,,,other,False,user,7850,,,,,,
毕节市纳雍县姑开乡姑开社区官寨组滑坡.csv,,,other,False,user,966,,,,,,
遵义市桐梓县高桥镇兴隆村石桥沟组岩底下滑坡.csv,,,other,False,user,18576,,,,,,
六盘水市盘州市鸡场坪镇大梨树村7、8组滑坡.csv,,,other,False,user,1358,,,,,,
毕节市威宁县海拉镇花果村半箐组刘家沟滑坡.csv,,,other,False,user,18576,,,,,,
铜仁市石阡县中坝街道太坪村小长坡组滑坡.csv,,,other,True,user,18576,,,,,,
黔西南州普安县新店镇花月村干巴田组干巴田滑坡.csv,,,other,False,user,966,,,,,,
毕节市纳雍县骔岭镇骔岭社区岭岗组、小寨组滑坡.csv,,,other,False,user,1234,,,,,,
黔东南州镇远县大地乡河坝村石堆窝组滑坡.csv,,,other,False,user,966,,,,,,
遵义市习水县土城镇九龙囤村一组大屋基滑坡.csv,,,other,False,user,18576,,,,,,
黔东南州天柱县高酿镇春花村三组滑坡.csv,,,other,False,user,1403,,,,,,
遵义市习水县马临街道尚华村三组集镇后山滑坡.csv,,,other,True,user,18576,,,,,,
遵义市习水县仙源镇大石村太平组太平滑坡.csv,,,other,False,user,18576,,,,,,
黔东南州凯里市舟溪镇舟溪村两岔组滑坡.csv,,,other,False,user,1400,,,,,,
毕节市七星关区生机镇耿官村大坡组大坡滑坡滑坡.csv,,,other,False,user,16096,,,,,,
六盘水市盘州市乌蒙镇糯迤安村沟头组(待核销)滑坡.csv,,,other,False,user,20742,,,,,,
毕节市织金县金凤街道田坝村箐脚组2号滑坡.csv,,,other,False,user,1403,,,,,,
贵阳市开阳县禾丰乡典寨村杨方寨组滑坡.csv,,,other,False,user,18640,,,,,,
遵义市习水县双龙乡杨寺岩村杨寺岩组滑坡.csv,,,other,False,user,1270,,,,,,
黔南州福泉市凤山镇竹王城村棉花土组响水河滑坡.csv,,,other,True,user,1548,,,,,,
毕节市黔西市谷里镇小街村桥边组滑坡.csv,,,other,False,user,1210,,,,,,
毕节市织金县三甲街道大街村后冲组滑坡.csv,,,other,False,user,1234,,,,,,
铜仁市沿河县沙子街道偏岩仟村柿子组滑坡.csv,,,other,False,user,966,,,,,,
遵义市道真县阳溪镇阳溪村大屋基组大屋基滑坡.csv,,,other,False,user,1339,,,,,,
遵义市桐梓县小水乡石场村石坝组新田.滑坡.csv,,,other,True,user,1339,,,,,,
六盘水市盘州市鸡场坪镇垤坞居委会7组半坡滑坡.csv,,,other,False,user,1729,,,,,,
六盘水市水城区都格镇黄泥村阿巩组滑坡.csv,,,other,False,user,20714,,,,,,
铜仁市思南县文家店镇青龙村朝阳寺组朝阳寺滑坡.csv,,,other,False,user,966,,,,,,
黔西南州贞丰县挽澜镇窑上村大石堡组大石堡滑坡.csv,,,other,False,user,1198,,,,,,
毕节市七星关区鸭池镇小寨村六组滑坡.csv,,,other,False,user,1234,,,,,,
遵义市习水县土城镇黔沿村三组高坎子滑坡.csv,,,other,False,user,18576,,,,,,
毕节市七星关区燕子口镇雄峰村廖家山组滑坡.csv,,,other,False,user,1234,,,,,,
贵阳市修文县大石乡大屯村一二三组滑坡.csv,,,other,False,user,18639,,,,,,
毕节市威宁县金钟镇寨营村龙口组龙口滑坡.csv,,,other,True,user,1400,,,,,,
毕节市七星关区层台镇幸福村雷家坡组滑坡.csv,,,other,False,user,1070,,,,,,
毕节市织金县熊家场镇干河村干河组陈家冲张家背后滑坡.csv,,,other,False,user,566,,,,,,
遵义市汇川区山盆镇新华村镇湾组滑坡.csv,,,other,False,user,2404,,,,,,
六盘水市水城区勺米镇梭沙村蒋家寨组滑坡.csv,,,other,False,user,18576,,,,,,
铜仁市松桃县甘龙镇友杠村水井湾组滑坡.csv,,,other,False,user,1211,,,,,,
黔西南州晴隆县碧痕镇新庄村新寨组新寨滑坡.csv,,,other,False,user,966,,,,,,
六盘水市水城区新街乡新街村大坪子组滑坡.csv,,,other,False,user,1349,,,,,,
安顺市平坝区十字乡摆捞村黄泥田组滑坡.csv,,,other,False,user,14337,,,,,,
黔东南州剑河县柳川镇革东村一、二组滑坡.csv,,,other,False,user,18620,,,,,,
遵义市播州区泮水镇中坪村大树子组滑坡.csv,,,other,False,user,18575,,,,,,
黔东南州天柱县竹林镇南头村七组凸云头滑坡.csv,,,other,False,user,966,,,,,,
毕节市七星关区杨家湾镇照壁村四组杨家院子滑坡.csv,,,other,False,user,18576,,,,,,
遵义市余庆县白泥镇哨溪村高寨组滑坡.csv,,,other,False,user,18640,,,,,,
六盘水市钟山区大湾镇腊寨村八组高家岩脚滑坡.csv,,,other,False,user,20834,,,,,,
遵义市习水县大坡镇黄河坝村田坝组月亮丘滑坡.csv,,,other,False,user,1346,,,,,,
遵义市湄潭县湄江街道观音村前进组枫香湾滑坡.csv,,,other,False,user,955,,,,,,
黔西南州册亨县丫他镇八窝村打沙组滑坡.csv,,,other,False,user,18640,,,,,,
遵义市仁怀市茅台镇大同村大屋基村民组滑坡.csv,,,other,False,user,1339,,,,,,
黔西南州贞丰县龙兴街道平坝村岩脚组滑坡.csv,,,other,False,user,1548,,,,,,
黔南州贵定县盘江镇长江村甲苏宝中寨组甲苏宝中寨滑坡.csv,,,other,False,user,18640,,,,,,
六盘水市盘州市双凤镇鄢家庄村15.16组（核桃岩）滑坡.csv,,,other,False,user,966,,,,,,
黔东南州凯里市凯棠镇养小村一组滑坡.csv,,,other,False,user,1403,,,,,,
铜仁市德江县复兴镇楠木村大龙洞组消河水滑坡.csv,,,other,False,user,966,,,,,,
黔东南州镇远县报京乡屯上村下组滑坡.csv,,,other,False,user,1401,,,,,,
铜仁市思南县三道水土家族苗族乡永兴村梅子坡组梅子坡滑坡.csv,,,other,False,user,1210,,,,,,
六盘水市水城区玉舍镇玉舍居委会营松组铜厂滑坡.csv,,,other,False,user,9288,,,,,,
铜仁市思南县合朋溪镇王家沟村卡子门组卡子门滑坡.csv,,,other,False,user,1210,,,,,,
毕节市七星关区燕子口镇雄峰村瓦房组长地头滑坡.csv,,,other,False,user,1234,,,,,,
铜仁市思南县思林土家族苗族乡合联村张家岩组张家岩滑坡.csv,,,other,False,user,966,,,,,,
铜仁市思南县文家店镇红旗村香炉田组香炉田滑坡.csv,,,other,False,user,18576,,,,,,
黔东南州丹寨县排调镇羊告村四组羊先寨滑坡.csv,,,other,False,user,14595,,,,,,
铜仁市思南县关中坝街道团山村林家寨组林家寨滑坡.csv,,,other,False,user,18574,,,,,,
遵义市仁怀市美酒河镇娄子坳村陈家沟组滑坡.csv,,,other,False,user,18576,,,,,,
黔西南州晴隆县鸡场镇杨柳村杨柳下组杨柳老寨滑坡.csv,,,other,False,user,18640,,,,,,
毕节市纳雍县骔岭镇小屯社区麻窝组滑坡.csv,,,other,False,user,1428,,,,,,
铜仁市沿河县夹石镇旧乡村五组滑坡.csv,,,other,False,user,966,,,,,,
黔东南州丹寨县南皋乡石桥村石桥组南皋至石桥公路滑坡.csv,,,other,False,user,18576,,,,,,
黔西南州兴仁市潘家庄镇鸡场坪村韦家寨组滑坡.csv,,,other,False,user,966,,,,,,
贵阳市开阳县龙水乡花山村矮子寨组滑坡.csv,,,other,False,user,18541,,,,,,
遵义市绥阳县旺草镇小河口村元山组滑坡.csv,,,other,False,user,1367,,,,,,
遵义市习水县仙源镇小獐村天成组天成滑坡.csv,,,other,False,user,18576,,,,,,
遵义市正安县碧峰镇青定村新屋坪组大洞沟滑坡.csv,,,other,False,user,18640,,,,,,
遵义市仁怀市茅台镇元木岩村元木岩组滑坡.csv,,,other,False,user,1338,,,,,,
铜仁市印江县峨岭街道同心村天窝组滑坡.csv,,,other,False,user,1189,,,,,,
黔西南州晴隆县碧痕镇新庄村兴中组水碓河滑坡.csv,,,other,False,user,18640,,,,,,
黔西南州贞丰县鲁贡镇林桃村3组林桃滑坡.csv,,,other,False,user,1402,,,,,,
毕节市黔西市素朴镇索风村大坪二三组高家岩脚滑坡.csv,,,other,False,user,20834,,,,,,
遵义市习水县土城镇团结社区铁炉沟组铁炉沟滑坡.csv,,,other,False,user,18576,,,,,,
黔东南州黄平县新州镇中心村一组滑坡.csv,,,other,False,user,18640,,,,,,
黔南州瓮安县建中镇高坪村老寨子组滑坡.csv,,,other,False,user,17467,,,,,,
黔东南州黄平县野洞河镇茶山村大院组滑坡.csv,,,other,False,user,966,,,,,,
安顺市紫云县四大寨乡纳容村塘边组塘边滑坡.csv,,,other,False,user,18639,,,,,,
毕节市大方县对江镇大山村金家沟组王家寨滑坡.csv,,,other,False,user,18576,,,,,,
